name;container;sub_category;category;base_margin
Avery 492;Small Box;Labels;Office Supplies;0.39
Xerox 193;Small Box;Paper;Office Supplies;0.36
3M Organizer Strips;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Xerox 1986;Small Box;Paper;Office Supplies;0.37
Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers;Jumbo Drum;Office Machines;Technology;0.4
StarTAC Analog;Small Box;Telephones and Communication;Technology;0.6
Assorted Color Push Pins;Wrap Bag;Rubber Bands;Office Supplies;0.52
Avery 508;Small Box;Labels;Office Supplies;0.36
Canon PC940 Copier;Jumbo Drum;Copiers and Fax;Technology;0.38
Avery 503;Small Box;Labels;Office Supplies;0.37
300 Series Non-Flip;Small Box;Telephones and Communication;Technology;0.6
O'Sullivan 3-Shelf Heavy-Duty Bookcases;Jumbo Box;Bookcases;Furniture;0.61
*Staples* vLetter Openers, 2/Pack;Wrap Bag;Scissors, Rulers and Trimmers;Office Supplies;0.83
Avery 481;Small Box;Labels;Office Supplies;0.37
Memorex 80 Minute CD-R Spindle, 100/Pack;Small Pack;Computer Peripherals;Technology;0.44
Xerox 1928;Small Box;Paper;Office Supplies;0.4
6190;Small Box;Telephones and Communication;Technology;0.55
Col-Erase® Pencils with Erasers;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Magna Visual Magnetic Picture Hangers;Small Pack;Office Furnishings;Furniture;0.47
High Speed Automatic Electric Letter Opener;Medium Box;Scissors, Rulers and Trimmers;Office Supplies;0.81
Riverleaf Stik-Withit® Designer Note Cubes®;Wrap Bag;Paper;Office Supplies;0.39
Xerox 1963;Small Box;Paper;Office Supplies;0.4
While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;Wrap Bag;Paper;Office Supplies;0.36
#10 White Business Envelopes,4 1/8 x 9 1/2;Small Box;Envelopes;Office Supplies;0.38
Gyration Ultra Cordless Optical Suite;Small Box;Computer Peripherals;Technology;0.46
Sauder Facets Collection Library, Sky Alder Finish;Jumbo Box;Bookcases;Furniture;0.69
TDK 4.7GB DVD-R Spindle, 15/Pack;Small Pack;Computer Peripherals;Technology;0.42
Boston 16765 Mini Stand Up Battery Pencil Sharpener;Small Pack;Pens & Art Supplies;Office Supplies;0.59
Staples Vinyl Coated Paper Clips, 800/Box;Wrap Bag;Rubber Bands;Office Supplies;0.4
Bevis 36 x 72 Conference Tables;Jumbo Box;Tables;Furniture;0.63
G.E. Halogen Desk Lamp Bulbs;Small Pack;Office Furnishings;Furniture;0.37
Avery Durable Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Xerox 1947;Small Box;Paper;Office Supplies;0.4
"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""";Wrap Bag;Paper;Office Supplies;0.4
Xerox 196;Small Box;Paper;Office Supplies;0.36
Xerox 1972;Small Box;Paper;Office Supplies;0.4
Micro Innovations 104 Keyboard;Small Box;Computer Peripherals;Technology;0.64
Microsoft Internet Keyboard;Small Box;Computer Peripherals;Technology;0.77
Accessory1;Small Pack;Telephones and Communication;Technology;0.36
Polycom Soundstation EX Audio-Conferencing Telephone, Black;Medium Box;Office Machines;Technology;0.36
80 Minute CD-R Spindle, 100/Pack - Staples;Small Pack;Computer Peripherals;Technology;0.54
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Jumbo Drum;Appliances;Office Supplies;0.58
Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost;Small Box;Storage & Organization;Office Supplies;0.6
Xerox 1991;Small Box;Paper;Office Supplies;0.39
Hewlett-Packard Deskjet 3820 Color Inkjet Printer;Jumbo Drum;Office Machines;Technology;0.37
Polycom ViewStation™ Adapter H323 Videoconferencing Unit;Medium Box;Office Machines;Technology;0.38
Boston 16701 Slimline Battery Pencil Sharpener;Small Pack;Pens & Art Supplies;Office Supplies;0.55
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table";Jumbo Box;Tables;Furniture;0.63
Eldon® 300 Class™ Desk Accessories, Black;Small Box;Office Furnishings;Furniture;0.41
Computer Printout Paper with Letter-Trim Perforations;Small Box;Paper;Office Supplies;0.37
Bush Westfield Collection Bookcases, Fully Assembled;Jumbo Box;Bookcases;Furniture;0.62
Global Stack Chair without Arms, Black;Jumbo Drum;Chairs & Chairmats;Furniture;0.6
Ibico Hi-Tech Manual Binding System;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Avanti 1.7 Cu. Ft. Refrigerator;Jumbo Drum;Appliances;Office Supplies;0.57
Acco® Hot Clips™ Clips to Go;Wrap Bag;Rubber Bands;Office Supplies;0.4
Acme Galleria® Hot Forged Steel Scissors with Colored Handles;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.56
Xerox 1893;Small Box;Paper;Office Supplies;0.36
Bevis Round Conference Room Tables and Bases;Jumbo Box;Tables;Furniture;0.71
Wausau Papers Astrobrights® Colored Envelopes;Small Box;Envelopes;Office Supplies;0.36
Newell 312;Wrap Bag;Pens & Art Supplies;Office Supplies;0.55
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack";Small Box;Paper;Office Supplies;0.38
Multi-Use Personal File Cart and Caster Set, Three Stacking Bins;Small Box;Storage & Organization;Office Supplies;0.57
O'Sullivan Living Dimensions 3-Shelf Bookcases;Jumbo Box;Bookcases;Furniture;0.75
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes";Small Box;Envelopes;Office Supplies;0.38
Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order;Jumbo Box;Bookcases;Furniture;0.65
12 Colored Short Pencils;Wrap Bag;Pens & Art Supplies;Office Supplies;0.58
Xerox 1997;Small Box;Paper;Office Supplies;0.37
Newell 320;Wrap Bag;Pens & Art Supplies;Office Supplies;0.58
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""";Medium Box;Office Furnishings;Furniture;0.64
"Seth Thomas 12"" Clock w/ Goldtone Case";Small Box;Office Furnishings;Furniture;0.51
Bagged Rubber Bands;Wrap Bag;Rubber Bands;Office Supplies;0.81
Dixon Prang® Watercolor Pencils, 10-Color Set with Brush;Wrap Bag;Pens & Art Supplies;Office Supplies;0.44
T18;Small Box;Telephones and Communication;Technology;0.57
Staples Gold Paper Clips;Wrap Bag;Rubber Bands;Office Supplies;0.39
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set;Small Box;Labels;Office Supplies;0.37
Ultra Door Push Plate;Small Pack;Office Furnishings;Furniture;0.52
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Small Pack;Office Furnishings;Furniture;0.37
Okidata ML591 Wide Format Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.56
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders";Small Box;Binders and Binder Accessories;Office Supplies;0.38
Acco Perma® 2700 Stacking Storage Drawers;Small Box;Storage & Organization;Office Supplies;0.7
Maxell Pro 80 Minute CD-R, 10/Pack;Small Pack;Computer Peripherals;Technology;0.45
"Dana Fluorescent Magnifying Lamp, White, 36""";Large Box;Office Furnishings;Furniture;0.55
Storex DuraTech Recycled Plastic Frosted Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Memorex Slim 80 Minute CD-R, 10/Pack;Small Pack;Computer Peripherals;Technology;0.43
Aluminum Document Frame;Small Pack;Office Furnishings;Furniture;0.55
Avery 510;Small Box;Labels;Office Supplies;0.37
GBC Binding covers;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);Small Box;Paper;Office Supplies;0.4
Bionaire 99.97% HEPA Air Cleaner;Medium Box;Appliances;Office Supplies;0.5
GBC Wire Binding Strips;Small Box;Binders and Binder Accessories;Office Supplies;0.37
GBC VeloBinder Electric Binding Machine;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Fellowes Basic 104-Key Keyboard, Platinum;Small Box;Computer Peripherals;Technology;0.6
EcoTones® Memo Sheets;Wrap Bag;Paper;Office Supplies;0.37
KI Conference Tables;Jumbo Box;Tables;Furniture;0.72
Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;Medium Box;Office Furnishings;Furniture;0.67
Acme® Box Cutter Scissors;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.59
Keytronic French Keyboard;Small Box;Computer Peripherals;Technology;0.79
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;Small Box;Appliances;Office Supplies;0.56
2160i;Small Box;Telephones and Communication;Technology;0.59
Sauder Camden County Collection Library;Jumbo Box;Bookcases;Furniture;0.65
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";Small Box;Office Furnishings;Furniture;0.55
White GlueTop Scratch Pads;Wrap Bag;Paper;Office Supplies;0.39
Eldon® Wave Desk Accessories;Small Box;Office Furnishings;Furniture;0.43
Binney & Smith inkTank™ Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;Wrap Bag;Pens & Art Supplies;Office Supplies;0.44
Lexmark Z55se Color Inkjet Printer;Jumbo Drum;Office Machines;Technology;0.38
StarTAC 7760;Small Box;Telephones and Communication;Technology;0.59
Fuji Slim Jewel Case CD-R;Small Pack;Computer Peripherals;Technology;0.55
GBC ProClick™ 150 Presentation Binding System;Small Box;Binders and Binder Accessories;Office Supplies;0.38
Imation Printable White 80 Minute CD-R Spindle, 50/Pack;Small Pack;Computer Peripherals;Technology;0.44
GBC Recycled Regency Composition Covers;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Xerox 197;Small Box;Paper;Office Supplies;0.4
Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Kleencut® Forged Office Shears by Acme United Corporation;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.55
Fellowes Superior 10 Outlet Split Surge Protector;Small Box;Appliances;Office Supplies;0.56
Canon MP100DHII Printing Calculator;Medium Box;Office Machines;Technology;0.37
Xerox 1936;Small Box;Paper;Office Supplies;0.38
Luxo Adjustable Task Clamp Lamp;Large Box;Office Furnishings;Furniture;0.59
Avery Binder Labels;Small Box;Binders and Binder Accessories;Office Supplies;0.37
2160;Small Box;Telephones and Communication;Technology;0.57
Acco D-Ring Binder w/DublLock®;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Xerox 224;Small Box;Paper;Office Supplies;0.37
Ames Color-File® Green Diamond Border X-ray Mailers;Small Box;Envelopes;Office Supplies;0.38
Project Tote Personal File;Small Box;Storage & Organization;Office Supplies;0.56
Hon Multipurpose Stacking Arm Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.59
Staples 6 Outlet Surge;Small Box;Appliances;Office Supplies;0.58
BPI Conference Tables;Jumbo Box;Tables;Furniture;0.71
Xerox 217;Small Box;Paper;Office Supplies;0.37
Hon Every-Day® Chair Series Swivel Task Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.64
Prang Drawing Pencil Set;Wrap Bag;Pens & Art Supplies;Office Supplies;0.58
Space Solutions Commercial Steel Shelving;Large Box;Storage & Organization;Office Supplies;0.8
Logitech Access Keyboard;Small Box;Computer Peripherals;Technology;0.37
Avery Binding System Hidden Tab™ Executive Style Index Sets;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers;Jumbo Drum;Office Machines;Technology;0.38
Accessory25;Wrap Bag;Telephones and Communication;Technology;0.57
"ACCOHIDE® 3-Ring Binder, Blue, 1""";Small Box;Binders and Binder Accessories;Office Supplies;0.38
Fellowes Officeware™ Wire Shelving;Large Box;Storage & Organization;Office Supplies;0.83
Wilson Jones DublLock® D-Ring Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;Small Pack;Pens & Art Supplies;Office Supplies;0.56
Bevis Boat-Shaped Conference Table;Jumbo Box;Tables;Furniture;0.75
Boston 1730 StandUp Electric Pencil Sharpener;Small Pack;Pens & Art Supplies;Office Supplies;0.59
iDEN i95;Small Box;Telephones and Communication;Technology;0.59
Accessory31;Small Pack;Telephones and Communication;Technology;0.35
Accessory8;Small Pack;Telephones and Communication;Technology;0.39
Staples® General Use 3-Ring Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Xerox 1916;Small Box;Paper;Office Supplies;0.35
TimeportP7382;Small Box;Telephones and Communication;Technology;0.56
Global Comet™ Stacking Armless Chair;Jumbo Drum;Chairs & Chairmats;Furniture;0.57
Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.56
Fellowes Internet Keyboard, Platinum;Small Box;Computer Peripherals;Technology;0.74
Xerox 1983;Small Box;Paper;Office Supplies;0.36
Bevis Steel Folding Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.57
Advantus Panel Wall Acrylic Frame;Small Pack;Office Furnishings;Furniture;0.42
Xerox 1932;Small Box;Paper;Office Supplies;0.38
Hon Comfortask® Task/Swivel Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.69
Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac;Small Box;Appliances;Office Supplies;0.6
Adesso Programmable 142-Key Keyboard;Small Box;Computer Peripherals;Technology;0.79
Xerox 195;Small Box;Paper;Office Supplies;0.37
7160;Small Box;Telephones and Communication;Technology;0.59
Fellowes Bankers Box™ Stor/Drawer® Steel Plus™;Small Box;Storage & Organization;Office Supplies;0.75
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack";Wrap Bag;Paper;Office Supplies;0.36
Accessory29;Small Pack;Telephones and Communication;Technology;0.83
Staples Metal Binder Clips;Wrap Bag;Rubber Bands;Office Supplies;0.39
"6"" Cubicle Wall Clock, Black";Small Box;Office Furnishings;Furniture;0.49
8860;Small Box;Telephones and Communication;Technology;0.56
"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box";Small Box;Envelopes;Office Supplies;0.38
Logitech Cordless Elite Duo;Small Box;Computer Peripherals;Technology;0.4
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms;Jumbo Drum;Chairs & Chairmats;Furniture;0.62
Xerox 1905;Small Box;Paper;Office Supplies;0.37
Quartet Alpha® White Chalk, 12/Pack;Wrap Bag;Pens & Art Supplies;Office Supplies;0.38
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator;Medium Box;Office Machines;Technology;0.36
8890;Small Box;Telephones and Communication;Technology;0.58
Fellowes Recycled Storage Drawers;Small Box;Storage & Organization;Office Supplies;0.78
Tennsco Commercial Shelving;Large Box;Storage & Organization;Office Supplies;0.84
Sharp EL500L Fraction Calculator;Medium Box;Office Machines;Technology;0.39
Balt Split Level Computer Training Table;Jumbo Box;Tables;Furniture;0.74
Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate;Wrap Bag;Paper;Office Supplies;0.38
Nu-Dell Leatherette Frames;Small Pack;Office Furnishings;Furniture;0.49
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge;Small Box;Appliances;Office Supplies;0.59
Lexmark 4227 Plus Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.55
Epson DFX-8500 Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.57
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case";Small Box;Paper;Office Supplies;0.4
Global Leather Task Chair, Black;Jumbo Drum;Chairs & Chairmats;Furniture;0.66
Lock-Up Easel 'Spel-Binder';Small Box;Binders and Binder Accessories;Office Supplies;0.38
Xerox 220;Small Box;Paper;Office Supplies;0.37
Canon imageCLASS 2200 Advanced Copier;Large Box;Copiers and Fax;Technology;0.37
Riverside Furniture Stanwyck Manor Table Series;Jumbo Box;Tables;Furniture;0.78
LX 677;Small Box;Telephones and Communication;Technology;0.57
Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel;Small Pack;Computer Peripherals;Technology;0.43
Global Troy™ Executive Leather Low-Back Tilter;Jumbo Drum;Chairs & Chairmats;Furniture;0.6
Document Clip Frames;Wrap Bag;Office Furnishings;Furniture;0.43
Avery 474;Small Box;Labels;Office Supplies;0.36
US Robotics 56K V.92 External Faxmodem;Small Box;Computer Peripherals;Technology;0.52
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables";Jumbo Box;Tables;Furniture;0.66
Epson FX-2180 Wide Format Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.57
Peel & Seel® Recycled Catalog Envelopes, Brown;Small Box;Envelopes;Office Supplies;0.35
Global Commerce™ Series High-Back Swivel/Tilt Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.6
Hon 2111 Invitation™ Series Corner Table;Large Box;Tables;Furniture;0.79
Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;Jumbo Drum;Appliances;Office Supplies;0.41
Xerox 23;Small Box;Paper;Office Supplies;0.37
Avery 506;Small Box;Labels;Office Supplies;0.39
C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx;Small Box;Office Furnishings;Furniture;0.54
Staples Copy Paper (20Lb. and 84 Bright);Small Box;Paper;Office Supplies;0.38
O'Sullivan 2-Shelf Heavy-Duty Bookcases;Jumbo Box;Bookcases;Furniture;0.69
Eldon Imàge® Series Desk Accessories, Clear;Small Box;Office Furnishings;Furniture;0.42
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue";Small Box;Binders and Binder Accessories;Office Supplies;0.36
Xerox 227;Small Box;Paper;Office Supplies;0.37
Xerox 210;Small Box;Paper;Office Supplies;0.37
Eldon Cleatmat® Chair Mats for Medium Pile Carpets;Medium Box;Office Furnishings;Furniture;0.72
Hon Rectangular Conference Tables;Jumbo Box;Tables;Furniture;0.68
Avery Poly Binder Pockets;Small Box;Binders and Binder Accessories;Office Supplies;0.37
ACCOHIDE® Binder by Acco;Small Box;Binders and Binder Accessories;Office Supplies;0.38
Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets;Medium Box;Office Furnishings;Furniture;0.74
"Bevis Round Bullnose 29"" High Table Top";Jumbo Box;Tables;Furniture;0.61
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.78
80 Minute Slim Jewel Case CD-R , 10/Pack - Staples;Small Pack;Computer Peripherals;Technology;0.52
Hunt Boston® Vacuum Mount KS Pencil Sharpener;Small Box;Pens & Art Supplies;Office Supplies;0.59
Bush Advantage Collection® Racetrack Conference Table;Jumbo Box;Tables;Furniture;0.67
"Executive Impressions 12"" Wall Clock";Small Pack;Office Furnishings;Furniture;0.47
5125;Small Box;Telephones and Communication;Technology;0.59
Memorex 4.7GB DVD+RW, 3/Pack;Small Pack;Computer Peripherals;Technology;0.4
Durable Pressboard Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.38
Xerox 2;Small Box;Paper;Office Supplies;0.37
Canon PC1060 Personal Laser Copier;Large Box;Copiers and Fax;Technology;0.41
5180;Small Box;Telephones and Communication;Technology;0.56
Hewlett-Packard Deskjet 940 REFURBISHED Color Inkjet Printer;Jumbo Box;Office Machines;Technology;0.4
IBM 80 Minute CD-R Spindle, 50/Pack;Small Pack;Computer Peripherals;Technology;0.48
Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting;Medium Box;Office Furnishings;Furniture;0.76
Avery 498;Small Box;Labels;Office Supplies;0.38
"Tensor ""Hersey Kiss"" Styled Floor Lamp";Large Box;Office Furnishings;Furniture;0.73
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors";Small Box;Binders and Binder Accessories;Office Supplies;0.35
Blue String-Tie & Button Interoffice Envelopes, 10 x 13;Small Box;Envelopes;Office Supplies;0.4
OIC Thumb-Tacks;Wrap Bag;Rubber Bands;Office Supplies;0.38
Belkin 8 Outlet Surge Protector;Small Box;Appliances;Office Supplies;0.57
Fiskars® Softgrip Scissors;Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.57
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;Large Box;Appliances;Office Supplies;0.52
Xerox 1961;Small Box;Paper;Office Supplies;0.38
GBC Therma-A-Bind 250T Electric Binding System;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”;Wrap Bag;Paper;Office Supplies;0.39
Super Decoflex Portable Personal File;Small Box;Storage & Organization;Office Supplies;0.57
Avery 52;Small Box;Labels;Office Supplies;0.38
V 3600 Series;Small Box;Telephones and Communication;Technology;0.58
DAX Clear Channel Poster Frame;Small Box;Office Furnishings;Furniture;0.48
"Acme® 8"" Straight Scissors";Small Pack;Scissors, Rulers and Trimmers;Office Supplies;0.6
1726 Digital Answering Machine;Medium Box;Telephones and Communication;Technology;0.58
Staples Colored Interoffice Envelopes;Small Box;Envelopes;Office Supplies;0.36
Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;Jumbo Box;Bookcases;Furniture;0.62
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms;Jumbo Drum;Chairs & Chairmats;Furniture;0.69
Staples Brown Kraft Recycled Clasp Envelopes;Small Box;Envelopes;Office Supplies;0.35
Array® Parchment Paper, Assorted Colors;Small Box;Paper;Office Supplies;0.37
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box";Small Pack;Office Furnishings;Furniture;0.35
Premium Writing Pencils, Soft, #2 by Central Association for the Blind;Wrap Bag;Pens & Art Supplies;Office Supplies;0.57
Ibico Covers for Plastic or Wire Binding Elements;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Sensible Storage WireTech Storage Systems;Large Box;Storage & Organization;Office Supplies;0.8
Hon iLevel™ Computer Training Table;Jumbo Box;Tables;Furniture;0.65
Xerox 1894;Small Box;Paper;Office Supplies;0.37
Hoover WindTunnel™ Plus Canister Vacuum;Small Box;Appliances;Office Supplies;0.57
Flexible Leather- Look Classic Collection Ring Binder;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Spiral Phone Message Books with Labels by Adams;Wrap Bag;Paper;Office Supplies;0.36
Newell 340;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Avery Hi-Liter Pen Style Six-Color Fluorescent Set;Wrap Bag;Pens & Art Supplies;Office Supplies;0.44
Harmony HEPA Quiet Air Purifiers;Medium Box;Appliances;Office Supplies;0.5
i470;Small Box;Telephones and Communication;Technology;0.56
Xerox 1895;Small Box;Paper;Office Supplies;0.4
Satellite Sectional Post Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Accessory35;Small Box;Telephones and Communication;Technology;0.55
Binder Posts;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Epson DFX5000+ Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.57
GBC Imprintable Covers;Small Box;Binders and Binder Accessories;Office Supplies;0.36
Tenex B1-RE Series Chair Mats for Low Pile Carpets;Wrap Bag;Office Furnishings;Furniture;0.68
Park Ridge™ Embossed Executive Business Envelopes;Small Box;Envelopes;Office Supplies;0.38
Gyration Ultra Professional Cordless Optical Suite;Small Box;Computer Peripherals;Technology;0.48
Avery 49;Small Box;Labels;Office Supplies;0.36
Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS;Small Pack;Computer Peripherals;Technology;0.5
Avery Hole Reinforcements;Small Box;Binders and Binder Accessories;Office Supplies;0.36
T193;Small Box;Telephones and Communication;Technology;0.57
Ultra Commercial Grade Dual Valve Door Closer;Wrap Bag;Office Furnishings;Furniture;0.53
Fellowes Staxonsteel® Drawer Files;Small Box;Storage & Organization;Office Supplies;0.71
Office Star - Task Chair with Contemporary Loop Arms;Jumbo Drum;Chairs & Chairmats;Furniture;0.61
Tennsco Regal Shelving Units;Large Box;Storage & Organization;Office Supplies;0.82
Surelock™ Post Binders;Small Box;Binders and Binder Accessories;Office Supplies;0.35
"Executive Impressions 14""";Small Pack;Office Furnishings;Furniture;0.41
GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;Small Box;Binders and Binder Accessories;Office Supplies;0.39
Panasonic KX-P1150 Dot Matrix Printer;Jumbo Drum;Office Machines;Technology;0.56
Microsoft Internet Keyboard;Small Box;Computer Peripherals;Technology;0.78
TDK 4.7GB DVD-R;Small Pack;Computer Peripherals;Technology;0.41
Canon MP41DH Printing Calculator;Medium Box;Office Machines;Technology;0.38
Eldon Expressions Mahogany Wood Desk Collection;Small Box;Office Furnishings;Furniture;0.6
Carina Mini System Audio Rack, Model AR050B;Large Box;Storage & Organization;Office Supplies;0.82
252;Small Box;Telephones and Communication;Technology;0.55
Canon S750 Color Inkjet Printer;Jumbo Drum;Office Machines;Technology;0.38
Global Deluxe Office Fabric Chairs;Jumbo Drum;Chairs & Chairmats;Furniture;0.58
Nu-Form 106-Key Ergonomic Keyboard w/ Touchpad;Small Box;Computer Peripherals;Technology;0.62
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;Jumbo Box;Tables;Furniture;0.72
Avery Self-Adhesive Photo Pockets for Polaroid Photos;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Canon MP25DIII Desktop Whisper-Quiet Printing Calculator;Medium Box;Office Machines;Technology;0.37
Barrel Sharpener;Small Pack;Pens & Art Supplies;Office Supplies;0.59
5170;Small Box;Telephones and Communication;Technology;0.59
Newell 336;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Accessory21;Wrap Bag;Telephones and Communication;Technology;0.37
SANFORD Major Accent™ Highlighters;Wrap Bag;Pens & Art Supplies;Office Supplies;0.47
Global High-Back Leather Tilter, Burgundy;Jumbo Drum;Chairs & Chairmats;Furniture;0.74
StarTAC 6500;Small Box;Telephones and Communication;Technology;0.59
Advantus Push Pins, Aluminum Head;Wrap Bag;Rubber Bands;Office Supplies;0.54
Avery 479;Small Box;Labels;Office Supplies;0.39
Eureka Sanitaire ® Multi-Pro Heavy-Duty Upright, Disposable Bags;Small Box;Appliances;Office Supplies;0.59
Newell 326;Wrap Bag;Pens & Art Supplies;Office Supplies;0.56
Global Push Button Manager's Chair, Indigo;Jumbo Drum;Chairs & Chairmats;Furniture;0.56
Hoover® Commercial Lightweight Upright Vacuum;Large Box;Appliances;Office Supplies;0.59
5185;Small Box;Telephones and Communication;Technology;0.58
GBC DocuBind 300 Electric Binding Machine;Small Box;Binders and Binder Accessories;Office Supplies;0.37
Holmes 99% HEPA Air Purifier;Medium Box;Appliances;Office Supplies;0.52
Avery Legal 4-Ring Binder;Small Box;Binders and Binder Accessories;Office Supplies;0.35
Catalog Binders with Expanding Posts;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Ibico Ibimaster 300 Manual Binding System;Small Box;Binders and Binder Accessories;Office Supplies;0.4
Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk;Small Box;Appliances;Office Supplies;0.59
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;Jumbo Box;Tables;Furniture;0.77
"Avery® Durable Plastic 1"" Binders";Small Box;Binders and Binder Accessories;Office Supplies;0.36
Strathmore Photo Mount Cards;Small Box;Paper;Office Supplies;0.39
Fellowes Mobile Numeric Keypad, Graphite;Small Box;Computer Peripherals;Technology;0.64
Novimex Fabric Task Chair;Jumbo Drum;Chairs & Chairmats;Furniture;0.7
DAX Wood Document Frame.;Wrap Bag;Office Furnishings;Furniture;0.54
Tenex Personal Project File with Scoop Front Design, Black;Small Box;Storage & Organization;Office Supplies;0.59
